"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.75,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.00185089074525836,0.03149550515942,0.995975323613518,0.022281828976232,1.18695236481611,1.19174876794106,0.0266616467299166,0.995478932071572,0.994,0.00244213021765835,4.61566203137908,"05_rr_to_or",1000
1,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.117486149041578,0.0308323728329744,0.975005238196973,0.0218126889827097,1.15737230795223,1.18704214358119,0.0265563507486251,0.981574029054174,0.981,0.00431729081716764,4.49189006914504,"05_rr_to_or",1000
2,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0511346199140066,0.0269781322642241,0.853123449722237,0.0190859656375386,1.08411444974816,1.27075917336598,0.0284292571307781,0.85422862876355,0.978,0.00463853425124791,4.19415372357085,"05_rr_to_or",1000
0.25,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.573982963301558,0.0289559343890188,0.915667044476955,0.0204851827153546,1.25655964905215,1.37228882117289,0.0307006650610901,1.08030742493295,0.988,0.00344325427466518,4.89972671354781,"05_rr_to_or",1000
0.5,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.139163833030118,0.0317129846584155,1.0028526292257,0.0224356871530711,1.25212201637786,1.24856033667143,0.0279326276752363,1.01196554040767,0.994,0.00244213021765835,4.88225231896501,"05_rr_to_or",1000
0.75,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0663063315160163,0.0325613662585527,1.02968081103982,0.023035883708902,1.25388575197557,1.21774217653851,0.0272431678491109,1.03129959742555,0.982,0.00420428352992517,4.88801925699874,"05_rr_to_or",1000
1,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.13618547300321,0.0330208055500235,1.04420955711603,0.0233609189056926,1.23314889385264,1.18094005695411,0.0264198356689849,1.05253489663307,0.956,0.00648567652600714,4.80259382403306,"05_rr_to_or",1000
2,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.147238728187558,0.0300202892941531,0.949324901866924,0.0212381718751149,1.16382322414632,1.22594827319663,0.0274267535645032,0.960206120899898,0.978,0.00463853425124791,4.51972833276606,"05_rr_to_or",1000
0.25,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.247910333101584,0.0298344669914862,0.943448684702077,0.0211067099173835,1.16027413132209,1.22982219397389,0.0275134204107392,0.975020440044182,0.976,0.00483983470792134,4.52066658532692,"05_rr_to_or",1000
0.5,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0479845719542234,0.0324151558780642,1.02505723284078,0.0229324456254008,1.14019052369223,1.11231889026565,0.0248846519510244,1.02566763983965,0.981,0.00431729081716764,4.42697383031999,"05_rr_to_or",1000
0.75,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0267611226311386,0.031942731301634,1.01011785599918,0.022598223851122,1.0722451329316,1.06150497841755,0.0237478497968258,1.00996727798967,0.979,0.00453420334788814,4.14351228459038,"05_rr_to_or",1000
1,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0281689324042277,0.0308197040827692,0.974604617139412,0.0218037263410887,1.03396232292651,1.0609043962477,0.023734413651494,0.974524393918646,0.982,0.00420428352992517,3.9836630389954,"05_rr_to_or",1000
2,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.04590481449704,0.0268047845924,0.847641715021721,0.0189633289896276,0.915562059663299,1.08012860084386,0.0241644950288735,0.848460507367271,0.976,0.00483983470792134,3.51645939526538,"05_rr_to_or",1000
0.25,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.132040245491528,0.0262551423420567,0.830260500928269,0.0185744787534346,0.90444085619213,1.08934588021582,0.0243707027909766,0.840284352663859,0.964,0.00589101010014412,3.47888142091756,"05_rr_to_or",1000
0.5,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0429257639484906,0.0238681300002392,0.754776542897511,0.0168857615699724,0.72106803276846,0.955339748636533,0.0213727352361351,0.755619324322222,0.963,0.00596917079668525,2.75830370388525,"05_rr_to_or",1000
0.75,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0197214205102306,0.0208221090329966,0.658452902326353,0.014730821748986,0.628463402966151,0.95445460221339,0.021352932856747,0.658419014598118,0.966,0.00573096850453743,2.41660791901228,"05_rr_to_or",1000
1,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0234732194482373,0.0188731102604566,0.596820149545365,0.013351981908037,0.571074510771779,0.956861981296714,0.0214067904250459,0.596983323589289,0.963,0.00596917079668525,2.20745806510925,"05_rr_to_or",1000
2,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0510981199483368,0.0157894199878166,0.499305300944886,0.011170392537654,0.493169465487017,0.987711255125355,0.0220969463226809,0.501664724323294,0.97,0.00539444158370447,1.90846444032701,"05_rr_to_or",1000
