or	n	br	br_guess	method	bias_ci	bias_es	bias_var
or=0.25	n=75	br=0.15	guessed br=0.05	Grant	1	0.0904319899441399	1.6516591349073
or=0.25	n=75	br=0.15	guessed br=0.05	metaumbrella	1	-0.0829524866278294	1.11813748130329
or=0.25	n=75	br=0.15	guessed br=0.05	or = rr	1	0.121540501673007	1.63140619607486
or=0.25	n=75	br=0.15	guessed br=0.15	Di Pietrantonj	1	-0.0518227881942168	1.08636655135261
or=0.25	n=75	br=0.15	guessed br=0.15	Grant	1	0.0230888902909761	1.68307983230203
or=0.25	n=75	br=0.15	guessed br=0.15	metaumbrella	1	-0.0831825158920418	1.10743503876544
or=0.25	n=75	br=0.15	guessed br=0.15	or = rr	1	0.122436311705829	1.62001070159639
or=0.25	n=75	br=0.15	guessed br=0.4	Di Pietrantonj	1	-0.0509840271049631	1.12087995338224
or=0.25	n=75	br=0.15	guessed br=0.4	Grant	1	-0.205748250356327	1.8907001024004
or=0.25	n=75	br=0.15	guessed br=0.4	metaumbrella	1	-0.0842923950454047	1.13008602332473
or=0.25	n=75	br=0.15	guessed br=0.4	or = rr	1	0.12217734974838	1.65666995308326
or=0.25	n=75	br=0.15	guessed br=0.7	Di Pietrantonj	1	-0.0516660537847885	1.10319612447798
or=0.25	n=75	br=0.15	guessed br=0.7	Grant	1	-0.754224519849814	1.70260830004629
or=0.25	n=75	br=0.15	guessed br=0.7	metaumbrella	1	-0.083019414402715	1.12308339700444
or=0.25	n=75	br=0.15	guessed br=0.7	or = rr	1	0.122128346676065	1.64327850995439
or=0.25	n=75	br=0.4	guessed br=0.01	Di Pietrantonj	0.999232412228007	-0.0126652336452327	0.833195731709312
or=0.25	n=75	br=0.4	guessed br=0.01	Grant	0.989566666666667	0.358703086678364	0.995446686347556
or=0.25	n=75	br=0.4	guessed br=0.01	metaumbrella	1	-0.143120105035694	0.679730641199405
or=0.25	n=75	br=0.4	guessed br=0.01	or = rr	0.988433333333333	0.364982895638538	0.994485897841942
or=0.25	n=75	br=0.4	guessed br=0.05	Di Pietrantonj	0.999365799926566	-0.014036357334244	0.832498992460565
or=0.25	n=75	br=0.4	guessed br=0.05	Grant	0.992066402213407	0.331756928581073	1.01456462958039
or=0.25	n=75	br=0.4	guessed br=0.05	metaumbrella	1	-0.145582243019946	0.680023857781955
or=0.25	n=75	br=0.4	guessed br=0.05	or = rr	0.988266666666667	0.364019618608757	1.00914829659087
